candidate_name,groups,group_count,feature_count,training_rows,training_start,training_end,stage1_roc_auc,matched_base_roc_auc,delta_roc_auc_vs_matched_base,stage1_roc_auc_fold_std,stage1_balanced_accuracy,stage1_flat_precision,stage1_flat_recall,stage1_flat_f1,matched_base_flat_f1,delta_flat_f1_vs_matched_base,stage1_move_f1,stage1_brier_score
calendar+futures_core+trend_direction,calendar|futures_core|trend_direction,3,58,3151,2008-04-10,2020-10-26,0.5754044779769802,0.5963665537661105,-0.02096207578913023,0.026192906499505963,0.5548155669361952,0.48053392658509453,0.44536082474226807,0.4622792937399679,0.5344906349931475,-0.07221134125317963,0.647739221871714,0.24509373848770674
volatility_options_short,volatility_options_short,1,27,2463,2011-01-11,2020-10-26,0.5945514950166113,0.6156508607671398,-0.02109936575052851,0.01080134076297197,0.574485049833887,0.5081521739130435,0.4857142857142857,0.49667994687915007,0.5260450160771705,-0.0293650691980204,0.6529304029304029,0.24409997061489722
futures_core+macro_cross_asset+volatility_options_core,futures_core|macro_cross_asset|volatility_options_core,3,53,3289,2007-06-08,2020-10-26,0.5835777126099707,0.6046928950154757,-0.02111518240550503,0.013585198584671297,0.5599933341868826,0.4900523560209424,0.4574780058651026,0.47320525783619816,0.5324137931034483,-0.05920853526725012,0.6472579553148273,0.2460866611884057
equity_rotation+technical_dynamics,equity_rotation|technical_dynamics,2,52,3368,2007-06-08,2020-10-26,0.5871363126354052,0.6085387355804779,-0.021402422945072663,0.032803346378931945,0.5710925744954783,0.4879931389365352,0.5450191570881227,0.5149321266968325,0.5344057193923145,-0.01947359269548199,0.6228008444757214,0.24175371935638929
interaction_consensus+volatility_options_core,interaction_consensus|volatility_options_core,2,47,3297,2007-06-08,2020-10-26,0.5810000593491023,0.6036113928694751,-0.02261133352037281,0.025614198582278345,0.5594785911602209,0.4767747589833479,0.53125,0.502540415704388,0.5294659300184162,-0.02692551431402823,0.612450521770421,0.24577085943464397
futures_core+rates_credit+volatility_options_core,futures_core|rates_credit|volatility_options_core,3,61,3295,2007-06-08,2020-10-26,0.5840245582582619,0.6073693703194439,-0.023344812061181996,0.006773823433979789,0.5680479672917098,0.4845094664371773,0.5503421309872922,0.5153318077803204,0.5386715195632393,-0.023339711782918937,0.615328732292045,0.24584344434648625
equity_rotation+interaction_consensus,equity_rotation|interaction_consensus,2,43,3364,2007-06-08,2020-10-26,0.592432163773764,0.6159656998889322,-0.023533536115168285,0.0038977667113556077,0.5683799010110148,0.5010526315789474,0.45681381957773515,0.4779116465863454,0.5485307212822796,-0.07061907469593426,0.6594629993451212,0.2406855020736265
breadth+futures_smallcap+interaction_consensus+technical_dynamics,breadth|futures_smallcap|interaction_consensus|technical_dynamics,4,77,824,2017-07-18,2020-10-26,0.503968253968254,0.528178940064186,-0.02421068609593202,0.051878248013740864,0.5004228467343221,0.40823970037453183,0.43253968253968256,0.42003853564547206,0.4484848484848485,-0.02844631283937643,0.5801952580195258,0.2666486414648278
equity_rotation+futures_smallcap+volatility_options_short,equity_rotation|futures_smallcap|volatility_options_short,3,45,824,2017-07-18,2020-10-26,0.5036863561453725,0.528178940064186,-0.024492583918813482,0.04224042359888405,0.5229963570127505,0.43272727272727274,0.4722222222222222,0.45161290322580644,0.4484848484848485,0.003128054740957953,0.5923836389280677,0.2640764722223936
futures_smallcap+rates_credit+technical_dynamics+volatility_options_core,futures_smallcap|rates_credit|technical_dynamics|volatility_options_core,4,80,786,2017-07-18,2020-10-26,0.5247423301790127,0.5495268519076608,-0.02478452172864809,0.0670378008022436,0.5301127117111687,0.4295774647887324,0.5191489361702127,0.4701348747591522,0.4612159329140461,0.00891894184510611,0.5814307458143074,0.2581231917811942
futures_core+technical_dynamics,futures_core|technical_dynamics,2,52,3362,2007-06-08,2020-10-26,0.5849315228599108,0.6097478306265405,-0.024816307766629686,0.03045654577420247,0.5688803669429301,0.49948927477017363,0.4692898272552783,0.4839188520534389,0.5228758169934641,-0.03895696494002521,0.6545213646902948,0.24387615365106544
