candidate_name,groups,status,feature_count,training_rows,training_start,training_end,matched_base_roc_auc,delta_roc_auc_vs_matched_base,decision_threshold,stage2_roc_auc,stage2_average_precision,stage2_brier_score,stage2_balanced_accuracy,stage2_macro_f1,stage2_down_f1,stage2_up_f1,stage2_roc_auc_fold_mean,stage2_roc_auc_fold_std,oof_move_rows
breadth+calendar+interaction_consensus+macro_cross_asset,"['breadth', 'calendar', 'interaction_consensus', 'macro_cross_asset']",ok,66,2625,2007-08-20,2018-02-02,0.4924114993501033,0.00392486683487514,0.5251659452915192,0.49633636618497845,0.5669607783297315,0.26270935129234235,0.5161008741748859,0.5009196831016862,0.5227817745803357,0.4790575916230366,0.5058315899319106,0.06770031134016287,799
breadth+calendar+futures_core+interaction_consensus,"['breadth', 'calendar', 'futures_core', 'interaction_consensus']",ok,68,2627,2007-08-20,2018-02-02,0.49427824718987085,0.003672832457943198,0.4540255069732666,0.49795107964781404,0.5560744449998438,0.26347706133946064,0.5209903326482455,0.5168806709210044,0.407108239095315,0.6266531027466938,0.5047844843384133,0.03377171335283219,801
breadth+rates_credit,"['breadth', 'rates_credit']",ok,53,2633,2007-08-20,2018-02-02,0.482387020559996,0.0036633489167043343,0.4255563020706177,0.48605036947670033,0.5421276627319691,0.26949755359870564,0.5192592871864474,0.5121526315702565,0.38731218697829717,0.6369930761622157,0.4752233270994323,0.040855475309473616,805
equity_rotation+futures_core+interaction_consensus+rates_credit,"['equity_rotation', 'futures_core', 'interaction_consensus', 'rates_credit']",ok,70,2627,2007-08-20,2018-02-02,0.49427824718987085,0.003533277511354793,0.4941422939300537,0.49781152470122564,0.5709443396342648,0.2612969211851578,0.4971169216716145,0.49595367558788217,0.454421768707483,0.5374855824682814,0.5001916809962396,0.026357531319777323,801
calendar+macro_cross_asset+rates_credit+volatility_options_core,"['calendar', 'macro_cross_asset', 'rates_credit', 'volatility_options_core']",ok,69,2590,2007-08-20,2018-02-02,0.48758453085376163,0.0034868977176669147,0.4746694564819336,0.49107142857142855,0.5676163462323205,0.26516555095268596,0.5177052514792899,0.5175387379294858,0.4383561643835616,0.5967213114754099,0.4988194773670784,0.02580829715509986,786
breadth+calendar+equity_rotation+macro_cross_asset,"['breadth', 'calendar', 'equity_rotation', 'macro_cross_asset']",ok,64,2625,2007-08-20,2018-02-02,0.4924114993501033,0.003364171572750152,0.4833434224128723,0.49577567092285346,0.5695537018182437,0.26344133138573517,0.5031443535438489,0.502500094820284,0.4558011049723757,0.5491990846681922,0.49729127125150824,0.03448054428037701,799
calendar+equity_rotation+futures_core+macro_cross_asset+technical_dynamics,"['calendar', 'equity_rotation', 'futures_core', 'macro_cross_asset', 'technical_dynamics']",ok,80,2625,2007-08-20,2018-02-02,0.4924114993501033,0.0031793969977316205,0.484774574637413,0.49559089634783493,0.5656594447567763,0.26105664773384024,0.5064352524402986,0.5063101076976271,0.4340175953079179,0.5786026200873362,0.4954506195205288,0.027696537148113824,799
breadth+calendar+equity_rotation+futures_core+interaction_consensus+technical_dynamics,"['breadth', 'calendar', 'equity_rotation', 'futures_core', 'interaction_consensus', 'technical_dynamics']",ok,99,2627,2007-08-20,2018-02-02,0.49427824718987085,0.0028037857450965986,0.4623865485191345,0.49708203293496744,0.5579405125436647,0.26462675716282463,0.5172604095303341,0.5158791208791209,0.4246153846153846,0.6071428571428571,0.49964829441564795,0.04809966270064764,801
breadth+equity_rotation+futures_core+macro_cross_asset+rates_credit,"['breadth', 'equity_rotation', 'futures_core', 'macro_cross_asset', 'rates_credit']",ok,81,2625,2007-08-20,2018-02-02,0.4924114993501033,0.0027079032545810344,0.44503630697727203,0.49511940260468434,0.552021112409745,0.2694166384179355,0.512316181155542,0.5076188257607673,0.39546191247974066,0.6197757390417941,0.4913455993890605,0.019583617222453782,799
breadth+calendar+futures_core+rates_credit,"['breadth', 'calendar', 'futures_core', 'rates_credit']",ok,72,2627,2007-08-20,2018-02-02,0.49427824718987085,0.0026198269518662443,0.46376559138298035,0.4968980741417371,0.5593444712735689,0.26342278618745363,0.5152622364314532,0.5129131492345114,0.41379310344827586,0.6120331950207469,0.5045189994137899,0.03437844658002717,801
