feature_date,target_date,future_log_return,direction,implied_realized_ratio_20,realized_volatility_20,vvix_level,ma_alignment_score,adx_14,rsp_relative_return_20,sector_volume_breadth,hyg_lqd_relative_return_5,crude_return_5d,outer_fold,actual_up,score,saved_decision_threshold,predicted_up,regime__implied_realized_ratio_20,regime__realized_volatility_20,regime__vvix_level,regime__ma_alignment_score,regime__adx_14,regime__rsp_relative_return_20,regime__sector_volume_breadth,regime__hyg_lqd_relative_return_5,regime__crude_return_5d
2019-06-04,2019-06-05,0.00862484793483843,UP,0.9934561049676495,0.010760510396259268,88.93000030517578,-1.0,24.820654578353142,0.004786655627424134,1.2585743722172273,-0.00962685124117399,-0.10059976042966635,3,1,0.5871457457542419,0.5677635669708252,1,LOW,MID,MID,LOW,MID,HIGH,HIGH,LOW,LOW
2019-06-05,2019-06-06,0.0064816219771665325,UP,0.9716438903028921,0.010431545427093129,86.72000122070312,-1.0,23.93658238622184,0.0034242706107831273,1.1182702920287144,-0.0035195529283439265,-0.12924106644373187,3,1,0.7750772833824158,0.5677635669708252,1,LOW,MID,MID,LOW,MID,MID,HIGH,MID,LOW
2019-06-06,2019-06-07,0.009957305414700513,UP,0.9504024574872074,0.010558639523270305,86.11000061035156,-1.0,22.384600236588344,0.0021304485701513125,1.3412806535361732,0.0003095500523234156,-0.0733063033480931,3,1,0.33091092109680176,0.5677635669708252,0,LOW,MID,MID,LOW,MID,MID,HIGH,MID,LOW
2019-06-17,2019-06-18,0.010416577802197647,UP,1.1546256827120551,0.008374654648893263,83.4800033569336,0.0,18.43434579770238,-0.001823534009497113,-0.17296813000485065,-0.006656941572735379,-0.025288885138297183,3,1,0.47954341769218445,0.5677635669708252,0,LOW,MID,MID,MID,MID,MID,MID,LOW,LOW
2019-06-19,2019-06-20,0.009508962073565962,UP,1.0898215100896926,0.008283054945606135,84.58000183105469,0.0,19.462241377255413,-0.003112661908595552,0.07486895490889611,-0.004649647005811625,0.04996270706528767,3,1,0.8850702047348022,0.5677635669708252,1,LOW,MID,MID,MID,MID,MID,MID,MID,HIGH
2019-06-20,2019-06-21,-0.006306552614024858,DOWN,1.1030559628534593,0.008423531480766668,81.20999908447266,0.0,20.53325896532697,-0.0019184085038472867,1.0745532760009724,-0.004797377494122032,0.08027814900252385,3,0,0.10549764335155487,0.5677635669708252,0,LOW,MID,LOW,MID,MID,MID,HIGH,MID,HIGH
2019-06-24,2019-06-25,-0.009856358925298136,DOWN,1.1976457175309163,0.0080264943410823,82.58999633789062,0.0,22.314803152780765,-0.0048082371239164395,-0.10455116311098463,-0.0038781356293099787,0.10882074719974014,3,0,0.056998588144779205,0.5677635669708252,0,MID,MID,LOW,MID,MID,LOW,MID,MID,HIGH
2019-06-27,2019-06-28,0.005132603226520216,UP,1.269912888791737,0.007847517075691559,86.5199966430664,1.0,20.69726174919826,0.003923337120650926,0.5608821470757634,-0.004942019634312784,0.047907140104403334,3,1,0.8143296241760254,0.5677635669708252,1,MID,MID,MID,MID,MID,MID,HIGH,MID,HIGH
2019-06-28,2019-07-01,0.009037548842095075,UP,1.3702866799828788,0.006932496082029055,85.77999877929688,1.0,20.676081913293512,0.005810957862054725,0.6264190000769408,-0.0076060205041600555,0.01794700287492639,3,1,0.9113044142723083,0.5677635669708252,1,MID,LOW,MID,MID,MID,HIGH,HIGH,LOW,HIGH
2019-07-02,2019-07-03,0.007963334238251185,UP,1.4783175792693213,0.005509732617545793,78.22000122070312,1.0,22.382745651658635,-0.008799222585742027,0.22294461170755117,-0.007449709040857606,-0.027701662748309742,3,1,0.5117360949516296,0.5677635669708252,0,MID,LOW,LOW,MID,MID,LOW,MID,LOW,LOW
2019-07-03,2019-07-08,-0.006648493261847134,DOWN,1.4464009449363984,0.005474523191526832,80.04000091552734,1.0,23.686719466336285,-0.006938887640893662,0.6040243684498533,-0.007954514919929084,-0.03495902420707697,3,0,0.5617750287055969,0.5677635669708252,0,MID,LOW,LOW,MID,MID,LOW,HIGH,LOW,LOW
2019-07-16,2019-07-17,-0.0068282785807129015,DOWN,1.4962302855143617,0.00541429912248202,88.25,1.0,29.24029029329215,-0.003688247344799847,-0.28210667629291236,0.004121449856525339,-0.0036379927136877517,3,0,0.5162558555603027,0.5677635669708252,0,HIGH,LOW,MID,MID,HIGH,MID,MID,HIGH,MID
2019-07-18,2019-07-19,-0.005570394083371622,DOWN,1.5840711672413839,0.0053805023880262115,84.04000091552734,1.0,27.85380025983224,-0.0023807710075574237,0.6729665534767082,-0.00875748611848067,-0.08489947025627255,3,0,0.395000159740448,0.5677635669708252,0,HIGH,LOW,MID,MID,HIGH,MID,HIGH,LOW,LOW
2019-07-22,2019-07-23,0.007124626357165882,UP,1.6377476533347322,0.0052041586997797,81.22000122070312,1.0,26.732514746500033,-0.00382567422327785,0.10681412483831426,-0.008297663524939087,-0.05804739082648809,3,1,0.7467101812362671,0.5677635669708252,1,HIGH,LOW,LOW,MID,HIGH,MID,MID,LOW,LOW
2019-07-25,2019-07-26,0.006677687088676026,UP,1.7019358022391722,0.004715480741883339,84.30000305175781,1.0,27.72245753972524,-0.0021811890692075425,-0.7515135673770238,0.001070477836044358,0.012935883271479818,3,1,0.18241429328918457,0.5677635669708252,0,HIGH,LOW,MID,MID,HIGH,MID,LOW,MID,MID
2019-07-30,2019-07-31,-0.011000724758174285,DOWN,1.799841126345474,0.004878971925193031,91.58000183105469,1.0,29.037258754987555,-0.00762412421324464,-0.09192889165864465,0.0005743846184281878,0.022296669754988657,3,0,0.2652168571949005,0.5677635669708252,0,HIGH,LOW,MID,MID,HIGH,LOW,MID,MID,HIGH
2019-07-31,2019-08-01,-0.008746054656595139,DOWN,1.930072025166577,0.0052612782862194885,96.27999877929688,1.0,27.27505879289162,-0.004680066336579317,-1.5517862157261537,-2.5196982244929606e-05,0.04718681915371517,3,0,0.9904630780220032,0.5677635669708252,1,HIGH,LOW,HIGH,MID,HIGH,LOW,LOW,MID,HIGH
2019-08-01,2019-08-02,-0.007558001636935497,DOWN,2.007735428269904,0.005606835571038958,105.47000122070312,1.0,26.11528158660731,-0.005095932152826935,-1.4432926280205483,-0.01188482080698211,-0.03765107215764936,3,0,0.7864879965782166,0.5677635669708252,1,HIGH,LOW,HIGH,MID,HIGH,LOW,LOW,LOW,LOW
2019-08-02,2019-08-05,-0.030534562051236183,DOWN,2.021130924519401,0.005488638827266471,102.69000244140625,1.0,26.032184201681325,-0.006707566895873342,-1.2278800190333785,-0.015241872071979325,-0.009655017118763836,3,0,0.3978576958179474,0.5677635669708252,0,HIGH,LOW,HIGH,MID,HIGH,LOW,LOW,LOW,MID
2019-08-05,2019-08-06,0.013925491826036846,UP,1.8086880712647415,0.008564353537635969,114.4000015258789,0.0,27.754455479379065,-0.004814349055317642,-1.9705043581694202,-0.02558456711778718,-0.03908709028878716,3,1,0.4892531931400299,0.5677635669708252,0,HIGH,MID,HIGH,MID,HIGH,LOW,LOW,LOW,LOW
2019-08-07,2019-08-08,0.019430085399064805,UP,1.3387185841662643,0.009171117788269654,104.2699966430664,0.0,31.147667629359315,-0.0016598281102034873,0.6284437880855622,-0.023511599519997706,-0.1368045863275665,3,1,0.2909111976623535,0.5677635669708252,0,MID,MID,HIGH,MID,HIGH,MID,HIGH,LOW,LOW
2019-08-08,2019-08-09,-0.006834829537225516,DOWN,1.0337386792802834,0.010304633896713433,98.66000366210938,0.0,30.97303690349689,-0.0028833253189224674,1.262432541043418,-0.01224060363924708,-0.02648290416301273,3,0,0.5125424265861511,0.5677635669708252,0,LOW,MID,HIGH,MID,HIGH,MID,HIGH,LOW,LOW
2019-08-09,2019-08-12,-0.012248036560968258,DOWN,1.0988971760722557,0.010301269109218292,101.5199966430664,0.0,30.810879800910353,-0.007581621473142949,-0.5758730560530092,-0.008154189091735977,-0.02106105168711821,3,0,0.6481046676635742,0.5677635669708252,1,LOW,MID,HIGH,MID,HIGH,LOW,LOW,LOW,MID
