feature,direction,predictive_auc,fold_predictive_auc_mean,fold_predictive_auc_std,rows,flat_share,start_date,end_date
bollinger_position_change,higher_flat,0.5179387535295317,0.5130927520910121,0.0037461369157217473,3368,0.41211401425178146,2007-06-08,2020-10-26
es_nq_dispersion_5d,higher_move,0.5094031980610474,0.5126782681433505,0.003833909233772267,3364,0.4123067776456599,2007-06-08,2020-10-26
absolute_return_1d,higher_flat,0.5010039152330219,0.5124490711627779,0.006720888257939401,3368,0.41211401425178146,2007-06-08,2020-10-26
dxy_return_1d,higher_move,0.51311577423812,0.5123983431872206,0.0025353844040046096,3364,0.41200951248513673,2007-06-08,2020-10-26
gap_intraday_interaction,higher_flat,0.5344478648152999,0.5118430718327093,0.01104041777076053,3368,0.41211401425178146,2007-06-08,2020-10-26
sma_20_50_spread,higher_flat,0.5127110441591709,0.5114875535220782,0.006943700793141121,3368,0.41211401425178146,2007-06-08,2020-10-26
quarter_end_flag,higher_move,0.5065947661048525,0.5111223014952372,0.0019063396391037282,3368,0.41211401425178146,2007-06-08,2020-10-26
sector_breadth_acceleration_5,higher_flat,0.5151435100282362,0.5110916851205565,0.01083801354772165,3368,0.41211401425178146,2007-06-08,2020-10-26
third_friday_week_flag,higher_move,0.5021133525456293,0.5107182822193336,0.007521979348804612,3368,0.41211401425178146,2007-06-08,2020-10-26
es_spy_divergence_5d,higher_flat,0.5138563560250742,0.510630669133837,0.006527289818365075,3364,0.4123067776456599,2007-06-08,2020-10-26
es_spy_divergence_1d,higher_move,0.5037709173199567,0.5101695824820506,0.0029151094637262847,3364,0.41200951248513673,2007-06-08,2020-10-26
gld_return,higher_move,0.5037118301167294,0.5093721098341034,0.008139857176853284,3368,0.41211401425178146,2007-06-08,2020-10-26
qqq_relative_return,higher_flat,0.5108556749046662,0.5089908127464232,0.005779484978129048,3368,0.41211401425178146,2007-06-08,2020-10-26
qqq_dia_relative_return_1d,higher_flat,0.5155164759991848,0.5089321584486477,0.008767946013398264,3368,0.41211401425178146,2007-06-08,2020-10-26
dxy_return_20d,higher_move,0.5099429305798222,0.5084944685970738,0.006286605141775106,3364,0.4123067776456599,2007-06-08,2020-10-26
month_end_flag,higher_move,0.5078522981981195,0.5082708825824288,0.0069298925279039645,3368,0.41211401425178146,2007-06-08,2020-10-26
gold_dollar_relative_return_1d,higher_flat,0.5022440204442227,0.5082676720693159,0.007850489180750661,3364,0.41200951248513673,2007-06-08,2020-10-26
return_autocorrelation_20,higher_move,0.5019234128023754,0.5077995336001094,0.0055516426835470105,3368,0.41211401425178146,2007-06-08,2020-10-26
skew_change,higher_flat,0.5014975830973709,0.5060288402394822,0.00400055264414772,3324,0.4121540312876053,2007-06-08,2020-10-26
nq_es_relative_return_1d,higher_flat,0.5120539498699256,0.5059233325275305,0.004187236111395791,3364,0.41200951248513673,2007-06-08,2020-10-26
third_friday_flag,higher_move,0.500682618694146,0.5024421323311259,0.001507295888219347,3368,0.41211401425178146,2007-06-08,2020-10-26
