family,feature,regime,threshold_source,lower_threshold_q33,upper_threshold_q67,rows,up_share,roc_auc,sign_accuracy,magnitude_weighted_sign_accuracy,mean_score
cross_asset,iwm_relative_return_5,LOW,development_MOVE_tertiles_only,-0.007335515288489081,0.00402296951670662,126,0.5555555555555556,0.5816326530612245,0.5317460317460317,0.525520705730147,0.41524641240476196
cross_asset,iwm_relative_return_5,MID,development_MOVE_tertiles_only,-0.007335515288489081,0.00402296951670662,79,0.5569620253164557,0.5675324675324676,0.5949367088607594,0.5854747188968819,0.43750494673417717
cross_asset,iwm_relative_return_5,HIGH,development_MOVE_tertiles_only,-0.007335515288489081,0.00402296951670662,125,0.576,0.4722222222222222,0.44,0.4765735096322999,0.44608262492
cross_asset,qqq_relative_return_5,LOW,development_MOVE_tertiles_only,-0.0032260922560134603,0.0048047287050006155,138,0.5579710144927537,0.5111773472429211,0.4927536231884058,0.4889461202860778,0.43286890607971007
cross_asset,qqq_relative_return_5,MID,development_MOVE_tertiles_only,-0.0032260922560134603,0.0048047287050006155,90,0.5888888888888889,0.5655277919428863,0.5333333333333333,0.5449144613931804,0.4400807320222222
cross_asset,qqq_relative_return_5,HIGH,development_MOVE_tertiles_only,-0.0032260922560134603,0.0048047287050006155,102,0.5490196078431373,0.5628881987577639,0.5196078431372549,0.5515596655972197,0.42452050930392154
cross_asset,dxy_return_5d,LOW,development_MOVE_tertiles_only,-0.004192015335694086,0.004852860889655651,86,0.5813953488372093,0.5888888888888889,0.5348837209302325,0.5385769449800445,0.4309430281162788
cross_asset,dxy_return_5d,MID,development_MOVE_tertiles_only,-0.004192015335694086,0.004852860889655651,122,0.5409836065573771,0.5292207792207793,0.5245901639344263,0.5296026449232583,0.4299961035983607
cross_asset,dxy_return_5d,HIGH,development_MOVE_tertiles_only,-0.004192015335694086,0.004852860889655651,122,0.5737704918032787,0.5164835164835164,0.48360655737704916,0.502050733261758,0.4354396869918032
cross_asset,crude_return_5d,LOW,development_MOVE_tertiles_only,-0.024813552101781194,0.015840008025561268,92,0.6086956521739131,0.44940476190476186,0.43478260869565216,0.4155870629818697,0.39846999533695654
cross_asset,crude_return_5d,MID,development_MOVE_tertiles_only,-0.024813552101781194,0.015840008025561268,110,0.5454545454545454,0.5233333333333333,0.5272727272727272,0.5747500534830902,0.46170705140909096
cross_asset,crude_return_5d,HIGH,development_MOVE_tertiles_only,-0.024813552101781194,0.015840008025561268,128,0.546875,0.6298029556650246,0.5546875,0.556203286336477,0.43122852846875004
cross_asset,gold_dollar_relative_return_5d,LOW,development_MOVE_tertiles_only,-0.00931999722790475,0.014344945756777111,117,0.5384615384615384,0.5437977660199882,0.5128205128205128,0.5139033319839191,0.43768977511111107
cross_asset,gold_dollar_relative_return_5d,MID,development_MOVE_tertiles_only,-0.00931999722790475,0.014344945756777111,121,0.5867768595041323,0.584225352112676,0.5289256198347108,0.5444344635910988,0.43876187141322315
cross_asset,gold_dollar_relative_return_5d,HIGH,development_MOVE_tertiles_only,-0.00931999722790475,0.014344945756777111,92,0.5652173913043478,0.47355769230769235,0.4891304347826087,0.5037956061228452,0.41678670370652166
cross_asset,futures_cash_confirmation,LOW,development_MOVE_tertiles_only,-0.0005650115177156785,0.0005786594165097091,31,0.4838709677419355,0.5208333333333334,0.4838709677419355,0.4849599064363159,0.3877915557419354
cross_asset,futures_cash_confirmation,MID,development_MOVE_tertiles_only,-0.0005650115177156785,0.0005786594165097091,262,0.5534351145038168,0.5461243737105805,0.5305343511450382,0.5416358081749838,0.43539698386641223
cross_asset,futures_cash_confirmation,HIGH,development_MOVE_tertiles_only,-0.0005650115177156785,0.0005786594165097091,37,0.7027027027027027,0.4895104895104895,0.40540540540540543,0.4034365288983151,0.4472626721351352
