candidate_name,groups,group_count,feature_count,training_rows,training_start,training_end,stage2_roc_auc,matched_base_roc_auc,delta_roc_auc_vs_matched_base,stage2_roc_auc_fold_mean,stage2_roc_auc_fold_std,stage2_average_precision,stage2_brier_score,stage2_balanced_accuracy,stage2_macro_f1,stage2_down_f1,stage2_up_f1
breadth+calendar+futures_core+technical_dynamics+volatility_options_short,breadth|calendar|futures_core|technical_dynamics|volatility_options_short,5,82,2457,2011-01-11,2020-10-26,0.5095134123518403,0.48160409459536097,0.027909317756479368,0.5096302812023338,0.022037796751060275,0.5739054032958739,0.2656334145961432,0.5153051097374242,0.5148981932893605,0.42727272727272725,0.6025236593059937
breadth+futures_core+rates_credit+technical_dynamics,breadth|futures_core|rates_credit|technical_dynamics,4,83,3362,2007-06-08,2020-10-26,0.5106719633719363,0.4828885746775593,0.02778338869437702,0.5144210047545835,0.005512575564019631,0.5768421261590941,0.26011563230575746,0.5185347278331388,0.5179386823222439,0.42857142857142855,0.6073059360730594
equity_rotation+interaction_consensus+technical_dynamics+trend_direction,equity_rotation|interaction_consensus|technical_dynamics|trend_direction,4,82,3153,2008-04-10,2020-10-26,0.5149278315040297,0.48753548625346993,0.027392345250559724,0.5165344577703287,0.01588389512205167,0.5866418384225638,0.260360790067375,0.5213022432138114,0.5168509655058591,0.4939759036144578,0.5397260273972603
equity_rotation+futures_core+technical_dynamics+volatility_options_core+volatility_options_short,equity_rotation|futures_core|technical_dynamics|volatility_options_core|volatility_options_short,5,82,2393,2011-01-11,2020-10-26,0.5128095470080066,0.48591860945106197,0.02689093755694466,0.5125975634642771,0.03619358031582317,0.597025788228203,0.2658926097053157,0.5202304937504881,0.5202450002838236,0.44394110985277463,0.5965488907148726
breadth+futures_core+interaction_consensus+rates_credit+technical_dynamics,breadth|futures_core|interaction_consensus|rates_credit|technical_dynamics,5,95,3362,2007-06-08,2020-10-26,0.5092916778884998,0.4828885746775593,0.026403103210940526,0.5092704535657099,0.01812334591622732,0.5731667988387211,0.2578684830915082,0.5117268156926116,0.511621284677316,0.4465261514441842,0.5767164179104478
equity_rotation+technical_dynamics+trend_direction,equity_rotation|technical_dynamics|trend_direction,3,70,3157,2008-04-10,2020-10-26,0.5096043872254319,0.48444654849534763,0.02515783873008426,0.5105526258594438,0.05046393013861352,0.5824648449151625,0.25395445877677836,0.5238570046042406,0.5237939652914605,0.46166529266281947,0.5859226379201015
breadth+calendar+rates_credit+trend_direction+volatility_options_core,breadth|calendar|rates_credit|trend_direction|volatility_options_core,5,93,3090,2008-04-10,2020-10-26,0.5068974264770203,0.48197352997778126,0.02492389649923904,0.5128933457802255,0.008032017895412526,0.5817659183760501,0.2654183792594426,0.5120923651568432,0.5120543082444788,0.44387755102040816,0.5802310654685494
breadth+equity_rotation+futures_core+technical_dynamics+volatility_options_short,breadth|equity_rotation|futures_core|technical_dynamics|volatility_options_short,5,83,2457,2011-01-11,2020-10-26,0.5064899620030624,0.48160409459536097,0.024885867407701434,0.5071221801291254,0.021343269835576262,0.5706539146205749,0.2625559588005619,0.5169001304372484,0.5162366590036386,0.42479908151549944,0.6076742364917777
breadth+calendar+equity_rotation+rates_credit+volatility_options_short,breadth|calendar|equity_rotation|rates_credit|volatility_options_short,5,77,2463,2011-01-11,2020-10-26,0.504384505955709,0.47987161430502573,0.02451289165068332,0.5058138148408134,0.018760334713976642,0.5781932595724212,0.26300535342751297,0.5075092184326188,0.5072677010879258,0.42247191011235957,0.5920634920634921
equity_rotation+futures_core+technical_dynamics,equity_rotation|futures_core|technical_dynamics,3,62,3362,2007-06-08,2020-10-26,0.5069182601669808,0.4828885746775593,0.024029685489421526,0.5091066705622628,0.01884165499794803,0.5795009158754739,0.2567364010928151,0.5159948529191729,0.513056954383485,0.478134110787172,0.547979797979798
breadth+technical_dynamics,breadth|technical_dynamics,2,57,3368,2007-06-08,2020-10-26,0.49847697411879416,0.4744509384704987,0.024026035648295474,0.5016803171103994,0.01230687465678079,0.5764799004151366,0.2634929990280635,0.5067349934966702,0.5034932812652994,0.39092495636998253,0.6160616061606161
futures_core+interaction_consensus+volatility_options_core,futures_core|interaction_consensus|volatility_options_core,3,57,3295,2007-06-08,2020-10-26,0.5143963260763937,0.4904351028980737,0.023961223178320057,0.5140639306339739,0.025148088657020864,0.5929695289695712,0.2625474319388937,0.5268373536464945,0.5267771069618257,0.4433249370277078,0.6102292768959435
breadth+equity_rotation+futures_core+trend_direction,breadth|equity_rotation|futures_core|trend_direction,4,74,3151,2008-04-10,2020-10-26,0.5061669369616041,0.48245329514100976,0.023713641820594322,0.5113347140800565,0.019733849310123966,0.5811815065008084,0.2651924724765428,0.5084805914193644,0.5069955892111324,0.46588235294117647,0.5481088254810883
breadth+futures_core+interaction_consensus+rates_credit+volatility_options_short,breadth|futures_core|interaction_consensus|rates_credit|volatility_options_short,5,80,2457,2011-01-11,2020-10-26,0.5052848352520842,0.48160409459536097,0.023680740656723265,0.5059574320355814,0.00981608494551833,0.5838329230896773,0.2616652653051421,0.5065183179266148,0.5064565047562153,0.43844492440604754,0.574468085106383
equity_rotation+futures_core+trend_direction+volatility_options_short,equity_rotation|futures_core|trend_direction|volatility_options_short,4,65,2457,2011-01-11,2020-10-26,0.5050686213349969,0.48160409459536097,0.023464526739635894,0.5082414256661486,0.027958571521055107,0.5710642706814295,0.2629351123960918,0.5087265354732604,0.5077861424222534,0.4129181084198385,0.6026541764246682
futures_core+rates_credit+technical_dynamics+volatility_options_short,futures_core|rates_credit|technical_dynamics|volatility_options_short,4,74,2457,2011-01-11,2020-10-26,0.5045972041059378,0.48160409459536097,0.022993109510576815,0.507224198900006,0.019223902277513475,0.5745991323008062,0.26514715864870014,0.5145784891963932,0.5145512202240073,0.43680709534368073,0.5922953451043339
futures_core+interaction_consensus+rates_credit,futures_core|interaction_consensus|rates_credit,3,59,3362,2007-06-08,2020-10-26,0.5054612921566868,0.4828885746775593,0.02257271747912748,0.5054372682584706,0.018093046231127563,0.5765152355580605,0.25710163261022506,0.5093908040817547,0.5089108543319876,0.45176110260336905,0.566060606060606
calendar+equity_rotation+technical_dynamics,calendar|equity_rotation|technical_dynamics,3,61,3368,2007-06-08,2020-10-26,0.49689905604028156,0.4744509384704987,0.022448117569782877,0.49496580040547505,0.041872931654481,0.5623311168478,0.2601305066278588,0.5097912793975627,0.5088258280108875,0.4143692564745196,0.6032823995472553
equity_rotation+futures_core+technical_dynamics+trend_direction+volatility_options_core,equity_rotation|futures_core|technical_dynamics|trend_direction|volatility_options_core,5,94,3084,2008-04-10,2020-10-26,0.5039551884054162,0.48165673214469573,0.022298456260720467,0.507337085614755,0.007391302386360126,0.5884912921348548,0.26382221665970224,0.509100986004044,0.5088686481303931,0.4463087248322148,0.5714285714285714
