trade_date,actual_log_return,sarimax_prediction,is_out_of_sample,data_split,forecast_mode,oof_fold
2017-10-06,-0.0011394557373643071,-0.00024203525541680943,True,validation,one_step_walk_forward,
2017-10-10,0.0026348332265438115,0.00015579698525491423,True,validation,one_step_walk_forward,
2017-10-11,0.0015697717521929854,-5.7062581454790014e-05,True,validation,one_step_walk_forward,
2017-10-12,-0.0014912096319125536,2.802416914935617e-06,True,validation,one_step_walk_forward,
2017-10-13,0.0012166549542219028,0.00017336366240639514,True,validation,one_step_walk_forward,
2017-10-16,0.0013326920457795463,1.698235336270728e-05,True,validation,one_step_walk_forward,
2017-10-17,0.0007048631214624703,1.1262758577978524e-05,True,validation,one_step_walk_forward,
2017-10-18,0.0009781099737367755,4.7372320138932074e-05,True,validation,one_step_walk_forward,
2017-10-19,0.0002736684194568484,3.4296977126502816e-05,True,validation,one_step_walk_forward,
2017-10-20,0.005147182821886276,7.380378659360469e-05,True,validation,one_step_walk_forward,
2017-10-23,-0.003896969419021379,-0.0001958958546932557,True,validation,one_step_walk_forward,
2017-10-24,0.0017555633745319232,0.0003126007120788194,True,validation,one_step_walk_forward,
2017-10-25,-0.004962418292052873,-1.780091351718155e-06,True,validation,one_step_walk_forward,
2017-10-26,0.0012918200248079085,0.00037729725707718215,True,validation,one_step_walk_forward,
2017-10-27,0.008142940958378798,2.7559567979505413e-05,True,validation,one_step_walk_forward,
2017-10-30,-0.0037320397514387566,-0.00036083775022609997,True,validation,one_step_walk_forward,
2017-10-31,0.001556699677022446,0.00030343275554360746,True,validation,one_step_walk_forward,
2017-11-01,0.0013212979863173313,6.577034934648654e-06,True,validation,one_step_walk_forward,
2017-11-02,0.0003883129120887515,1.8503595145632655e-05,True,validation,one_step_walk_forward,
2017-11-03,0.00333313948964476,6.967405982129384e-05,True,validation,one_step_walk_forward,
2017-11-06,0.0015464680535225,-9.719661612168652e-05,True,validation,one_step_walk_forward,
2017-11-07,-0.000695596986573822,1.6346141937918866e-06,True,validation,one_step_walk_forward,
2017-11-08,0.0016994554859494032,0.0001280087360788833,True,validation,one_step_walk_forward,
2017-11-09,-0.0036342907541265517,-7.793571603937913e-06,True,validation,one_step_walk_forward,
2017-11-10,-0.0003099875604187004,0.0002929347318781031,True,validation,one_step_walk_forward,
2017-11-13,0.0009294382850910487,0.00011084734519676464,True,validation,one_step_walk_forward,
2017-11-14,-0.002325217451833892,4.084435536508684e-05,True,validation,one_step_walk_forward,
2017-11-15,-0.005017839305914511,0.00022264393522530704,True,validation,one_step_walk_forward,
2017-11-16,0.008465055348010226,0.0003692823756413009,True,validation,one_step_walk_forward,
2017-11-17,-0.0029430388124721918,-0.0003857504763484391,True,validation,one_step_walk_forward,
2017-11-20,0.001704907667696995,0.00025391751990787276,True,validation,one_step_walk_forward,
2017-11-21,0.006521478333189071,-6.034650165931798e-06,True,validation,one_step_walk_forward,
2017-11-22,-0.0008849657864718609,-0.00027653133772495775,True,validation,one_step_walk_forward,
2017-11-24,0.002307067052553484,0.00013630680358856794,True,validation,one_step_walk_forward,
2017-11-27,-0.0004993348656304272,-4.165384562792969e-05,True,validation,one_step_walk_forward,
2017-11-28,0.010093697243671753,0.00011376689925554665,True,validation,one_step_walk_forward,
2017-11-29,-0.000608865143803894,-0.0004800086675116756,True,validation,one_step_walk_forward,
2017-11-30,0.008716868297143729,0.0001235152205531995,True,validation,one_step_walk_forward,
2017-12-01,-0.0020776191554762393,-0.0003954347096370332,True,validation,one_step_walk_forward,
2017-12-04,-0.0012106577450937816,0.00020836379943236998,True,validation,one_step_walk_forward,
2017-12-05,-0.0036031069881391526,0.0001590222318162331,True,validation,one_step_walk_forward,
2017-12-06,0.00018991240550295883,0.0002933056019781591,True,validation,one_step_walk_forward,
2017-12-07,0.0031481207607982854,7.776764701396242e-05,True,validation,one_step_walk_forward,
2017-12-08,0.005438294285834409,-8.665737760871468e-05,True,validation,one_step_walk_forward,
2017-12-11,0.0030084930440527815,-0.00021417767690210896,True,validation,one_step_walk_forward,
2017-12-12,0.0017633095564034158,-7.6290885831572e-05,True,validation,one_step_walk_forward,
2017-12-13,-0.00011245395534321217,-5.212491742696466e-06,True,validation,one_step_walk_forward,
2017-12-14,-0.004094580692557239,9.827149756330994e-05,True,validation,one_step_walk_forward,
2017-12-15,0.0031944935073848556,0.0003211271785506234,True,validation,one_step_walk_forward,
2017-12-18,0.0063212133655446145,-8.852433045675865e-05,True,validation,one_step_walk_forward,
2017-12-19,-0.003847806193067688,-0.0002615354820369129,True,validation,one_step_walk_forward,
2017-12-20,-0.0005242031016257336,0.0003155832749263354,True,validation,one_step_walk_forward,
2017-12-21,0.00205752979580027,0.00013096234675279554,True,validation,one_step_walk_forward,
2017-12-22,-0.000261551542800174,-1.4193003407525853e-05,True,validation,one_step_walk_forward,
2017-12-26,-0.001196960370748745,0.00011585789567329497,True,validation,one_step_walk_forward,
2017-12-27,0.0004864450917694262,0.00016782978413391503,True,validation,one_step_walk_forward,
2017-12-28,0.0020552999273804086,7.042884870123754e-05,True,validation,one_step_walk_forward,
2017-12-29,-0.0037776485465138097,-1.7537945074546716e-05,True,validation,one_step_walk_forward,
2018-01-02,0.007131832978848311,0.00030815892635366034,True,validation,one_step_walk_forward,
2018-01-03,0.006305236517900342,-0.0003017010298999966,True,validation,one_step_walk_forward,
